"Task","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"编辑","转到下一个文本输入点(&R)","Alt+向下","编辑文本"
"编辑","Find Next or Previous (depends on search backward configuration)","Alt+N","搜索条"
"文本编辑","Goto Matching Bracket","Alt+[","编辑文本"
"窗口","下一个视图","Alt+F7","在窗口中"
"HBuilder","十进制转八进制","Ctrl+Shift+8","编辑文本"
"文件","保存","Ctrl+S","在窗口中"
"编辑","剪切","Ctrl+X","在对话框和窗口中"
"窗口","激活编辑器","F8","在窗口中"
"文本编辑","更改为大写","Ctrl+Shift+X","编辑文本"
"编辑","选择成对内容(&[)","Ctrl+[","编辑文本"
"导航","下一个子标签","Alt+PageDown","在对话框和窗口中"
"编辑","增量逆向查找","Ctrl+Shift+J","编辑文本"
"文件","全部关闭","Ctrl+Shift+W","在窗口中"
"HBuilder","十进制转十六进制","Ctrl+Shift+6","编辑文本"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+向下","在窗口中"
"HBuilder","插入br(&B)","Shift+Enter","编辑文本"
"编辑","粘帖并格式化","Ctrl+Shift+V","编辑文本"
"文本编辑","复位结构","Ctrl+Shift+Numpad_Multiply","编辑文本"
"文件","全部关闭","Ctrl+Shift+F4","在窗口中"
"窗口","下一个透视图","Ctrl+F8","在窗口中"
"文件","打印","Ctrl+P","在窗口中"
"导航","Go To Previous Unread Task","Alt+向上","In Tasks View"
"HBuilder","在浏览器内运行","Ctrl+R","在窗口中"
"Task","Quick Outline","Ctrl+O","In Tasks Editor"
"视图","Expand All","Ctrl+Alt++","HBuilder Outline"
"编辑","选择HTML父节点(&P)","Ctrl+Alt+向上","编辑文本"
"文件传输","上传...","Ctrl+Shift+U","在窗口中"
"视图","Expand to Level ()","Ctrl+Alt+9","HBuilder Outline"
"运行／调试","运行上次启动","Ctrl+F11","在窗口中"
"重构","删除资源","删除","在窗口中"
"运行／调试","切换断点","Ctrl+Shift+B","在窗口中"
"Focused UI","Show Context Quick View","Ctrl+Alt+Shift+右箭头","在窗口中"
"文件","属性","Alt+Enter","在窗口中"
"文本编辑","上一个词语","Ctrl+左箭头","编辑文本"
"编辑","选所有子节点(&R)","Ctrl+Alt+向下","编辑文本"
"HBuilder","十六进制转十进制","Ctrl+Shift+9","编辑文本"
"窗口","快速切换编辑器","Ctrl+E","在窗口中"
"Task","Show Tooltip Description","F4","In Tasks View"
"文本编辑","全部折叠","Ctrl+Shift+Numpad_Divide","编辑文本"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks View"
"运行／调试","关闭呈示","Ctrl+W","在内存视图中"
"编辑","选中当前词并进入多词编辑模式","Ctrl+Shift+D","编辑文本"
"窗口","显示视图菜单","Ctrl+F10","在对话框和窗口中"
"HBuilder","打开PHP类型","Ctrl+Shift+T","PHP源代码编辑"
"编辑","删除","删除","编辑文本"
"文本编辑","全部展开","Ctrl+Numpad_Multiply","编辑文本"
"取消分类","部署应用程序","Ctrl+Alt+D","在窗口中"
"HBuilder","HTML标签规范(&P)","Ctrl+Shift+H","编辑文本"
"运行／调试","单步跳入","F5","调试中"
"编辑","选中当前词并进入多词编辑模式","Ctrl+Shift+A","编辑文本"
"文件传输","下载...","Ctrl+D","在窗口中"
"窗口","下一个编辑器","Ctrl+F6","在窗口中"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"导航","转至行","Ctrl+G","编辑文本"
"视图","Expand to Level ()","Ctrl+Alt+1","HBuilder Outline"
"运行／调试","切换内存监视器窗格","Ctrl+T","在内存视图中"
"HBuilder","边看边改快捷键","Ctrl+P","在窗口中"
"HBuilder","插入回车符(&B)","Shift+Enter","编辑文本"
"Task","Mark Task Read","Alt+Shift+R","In Tasks View"
"HBuilder","Non-Breaking Space","Shift+Space","编辑文本"
"编辑","Find Previous","Ctrl+Shift+K","搜索条"
"编辑","查找下一个","F3","编辑文本"
"视图","显示视图 (项目管理器)","Alt+Shift+Q, P","在窗口中"
"运行／调试","单步跳过","F6","调试中"
"视图","显示视图 (历史记录)","Alt+Shift+Q, Z","在窗口中"
"导航","展开全部","Ctrl+Shift+Numpad_Multiply","在窗口中"
"运行／调试","新建呈示","Ctrl+N","在内存视图中"
"文本编辑","选择行末","Shift+End","编辑文本"
"窗口","显示系统菜单","Alt+-","在窗口中"
"运行／调试","转至地址","Ctrl+G","在呈示表内存时"
"编辑","Find Bar Focus Find or Open Eclipse Search Dialog (depends on configuration)","Ctrl+F","搜索条"
"HBuilder","URL解码(&D)","Ctrl+Shift+5","编辑文本"
"运行／调试","下一个内存监视器","Ctrl+Alt+N","在内存视图中"
"窗口","显示键辅助","Ctrl+Shift+L","在对话框和窗口中"
"编辑","查找上一个","Ctrl+Shift+K","编辑文本"
"运行／调试","Debug PHP Script","Alt+Shift+D, H","在窗口中"
"导航","上一步","Alt+Shift+向上","编辑文本"
"编辑","Comment","Ctrl+/","编辑文本"
"文本编辑","将行上移","Alt+向上","编辑文本"
"Task","Mark Task Read and Go To Previous Unread Task","Alt+Shift+向上","In Tasks View"
"编辑","选前一个节点(&U)","Ctrl+Alt+左箭头","编辑文本"
"导航","转到定义","F12","HBuilder Editor"
"取消分类","Copy","Ctrl+C","In Git Reflog View"
"视图","显示视图 (问题)","Alt+Shift+Q, X","在窗口中"
"搜索","在工作空间中查找文本","Ctrl+Alt+G","在窗口中"
"编辑","内容辅助","Alt+/","在对话框和窗口中"
"HBuilder","开发视图快捷键","Ctrl+Shift+P","在窗口中"
"文本编辑","在当前行下面插入行","Shift+Enter","编辑文本"
"窗口","Previous Editor (HBuilder)","Ctrl+Shift+Tab","在窗口中"
"运行／调试","添加内存块","Ctrl+Alt+M","在内存视图中"
"编辑","Find Bar Focus Find","Ctrl+Alt+F","搜索条"
"文本编辑","文本末尾","Ctrl+End","编辑文本"
"编辑","缩小字体(&S)","Ctrl+-","编辑文本"
"文本编辑","展开","Ctrl+Alt+Numpad_Add","编辑文本"
"Git","Pull","Ctrl+Shift+5","在窗口中"
"Task Editor","Maximize Part","Ctrl+Shift+M","In Tasks Editor"
"导航","转到定义","F3","HBuilder的编写脚本的上下文"
"文件","重命名","F2","在窗口中"
"文本编辑","Goto Matching Bracket","Alt+'","编辑文本"
"导航","转到定义","Ctrl+Alt+D","HBuilder Editor"
"文本编辑","行首","主页","编辑文本"
"文本编辑","删除上一个词语","Ctrl+Backspace","编辑文本"
"搜索","打开“搜索”对话框","Ctrl+H","在窗口中"
"文本编辑","将行下移","Alt+向下","编辑文本"
"HBuilder","对选中的标签加包围标签","Ctrl+9","编辑文本"
"视图","显示视图 (项目管理器)","F9","在窗口中"
"文本编辑","更改为小写","Ctrl+Shift+Y","编辑文本"
"视图","Collapse All","Ctrl+Alt+-","HBuilder Outline"
"HBuilder","八进制转十进制","Ctrl+Shift+0","编辑文本"
"编辑","Input Newline in Find Bar","Alt+Enter","搜索条"
"视图","显示视图 (快捷键列表)","Ctrl+Shift+L","在窗口中"
"文本编辑","在当前行下面插入行","Ctrl+Enter","编辑文本"
"Git","Commit...","Ctrl+#","在窗口中"
"编辑","增量查找","Ctrl+J","编辑文本"
"导航","下一步","Ctrl+.","在窗口中"
"导航","打开资源","Ctrl+Shift+R","在窗口中"
"导航","前移历史记录","Alt+右箭头","在窗口中"
"导航","Search Repository for Task","Ctrl+Shift+F12","在窗口中"
"编辑","放大字体(&B)","Ctrl+Shift+=","编辑文本"
"文本编辑","将行上移","Ctrl+向上","编辑文本"
"HBuilder","补全语句结尾符(&T)","Ctrl+Alt+Enter","编辑文本"
"Git","Pull","Ctrl+Shift+4","在窗口中"
"文本编辑","全部展开","Ctrl+Alt+/","编辑文本"
"编辑","Find Previous","Shift+Enter","搜索条"
"文件","关闭","Ctrl+W","在窗口中"
"编辑","转到上一个文本输入点(&L)","Alt+向上","编辑文本"
"文本编辑","折叠","Ctrl+Numpad_Subtract","编辑文本"
"Task","New Local Task","插入","In Tasks View"
"运行／调试","内存的上一页","Ctrl+Shift+,","在呈示表内存时"
"文本编辑","下滚行","Ctrl+向下","编辑文本"
"导航","前一子标签","Alt+PageUp","在对话框和窗口中"
"Task","Open Selected Task","Ctrl+Enter","In Tasks View"
"文本编辑","改写切换","插入","编辑文本"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+向上","在窗口中"
"文件","“新建”菜单","Alt+Shift+N","在窗口中"
"窗口","上一个透视图","Ctrl+Shift+F8","在窗口中"
"编辑","高亮选中字符相同的其他字符(&O) ()","Alt+Shift+O","编辑文本"
"窗口","Next Editor (HBuilder)","Ctrl+Tab","在窗口中"
"窗口","显示标尺上下文菜单","Ctrl+F10","编辑文本"
"文本编辑","选择上一个词语","Ctrl+Shift+左箭头","编辑文本"
"编辑","粘贴","Ctrl+V","在对话框和窗口中"
"视图","显示视图 (Task List)","Alt+Shift+Q, K","在窗口中"
"编辑","Find Previous","Shift+Numpad_Enter","搜索条"
"运行／调试","单步返回","F7","调试中"
"视图","Bookmark","Ctrl+Alt+B","编辑文本"
"运行／调试","Inspect","Alt+Shift+I","PHP源代码编辑"
"HBuilder","选择当前行(&S)","Ctrl+L","编辑文本"
"取消分类","清空控制台","Ctrl+Alt+Q","在窗口中"
"Task Editor","Submit Task","Alt+Shift+S","In Tasks Editor"
"文本编辑","上滚行","Ctrl+向上","编辑文本"
"文本编辑","行末","End","编辑文本"
"运行／调试","使用单步执行过滤器","Shift+F5","在窗口中"
"窗口","激活编辑器","F12","在窗口中"
"文件","刷新","F5","在窗口中"
"文本编辑","删除至行头","Shift+Backspace","编辑文本"
"窗口","将活动视图或编辑器最大化","Ctrl+M","在窗口中"
"导航","前一页","Alt+Shift+F7","在窗口中"
"视图","Expand to Level ()","Ctrl+Alt+8","HBuilder Outline"
"编辑","快速修正","Ctrl+1","在对话框和窗口中"
"文本编辑","重复行","Ctrl+Alt+向上","编辑文本"
"pandora refactor category","refactor","Ctrl+F2","编辑文本"
"运行／调试","EOF","Ctrl+Z","在 I/O 控制台中"
"HBuilder","H&TML标签(使用当前词)","Ctrl+Shift+,","编辑文本"
"文本编辑","选择行首","Shift+主页","编辑文本"
"视图","显示视图 (搜索)","Alt+Shift+Q, S","在窗口中"
"视图","Expand to Level ()","Ctrl+Alt+4","HBuilder Outline"
"编辑","Find Next or Previous (depends on search backward configuration)","Enter","搜索条"
"编辑","全部选中","Ctrl+A","在对话框和窗口中"
"文本编辑","文本开头","Ctrl+主页","编辑文本"
"编辑","整理代码格式","Ctrl+Shift+F","编辑文本"
"文件","关闭","Ctrl+F4","在窗口中"
"编辑","文字补全","Ctrl+Alt+/","编辑文本"
"编辑","撤销","Ctrl+Z","在对话框和窗口中"
"文本编辑","删除行","Ctrl+D","编辑文本"
"窗口","切换至编辑器","Ctrl+Shift+E","在窗口中"
"窗口","上一个编辑器","Ctrl+Shift+F6","在窗口中"
"编辑","粘贴","Shift+插入","在对话框和窗口中"
"编辑","复制","Ctrl+C","在对话框和窗口中"
"编辑","Hide Find Bar","F12","搜索条"
"文本编辑","选择下一个词语","Ctrl+Shift+右箭头","编辑文本"
"导航","Activate Task","Ctrl+F9","在窗口中"
"编辑","切换插入方式","Ctrl+Shift+插入","编辑文本"
"编辑","查找并替换","Ctrl+F","在窗口中"
"编辑","Find Next or Previous (depends on search backward configuration)","Numpad_Enter","搜索条"
"编辑","选后一个节点(&D)","Ctrl+Alt+右箭头","编辑文本"
"导航","显示位置...","Alt+Shift+W","在窗口中"
"视图","Expand to Level ()","Ctrl+Alt+7","HBuilder Outline"
"文本编辑","删除至行末","Shift+删除","编辑文本"
"导航","折叠全部","Ctrl+Shift+Numpad_Divide","在窗口中"
"编辑","列选择(&C) ()","Ctrl+Alt+C","编辑文本"
"导航","下一步","Alt+Shift+向下","编辑文本"
"运行／调试","Run PHP Script","Alt+Shift+X, H","在窗口中"
"Task","Mark Task Complete","Alt+Shift+C","In Tasks Editor"
"视图","Expand to Level ()","Ctrl+Alt+3","HBuilder Outline"
"视图","Expand to Level ()","Ctrl+Alt+5","HBuilder Outline"
"视图","显示视图","Alt+Shift+Q, Q","在窗口中"
"文本编辑","展开","Ctrl+Numpad_Add","编辑文本"
"视图","Expand to Level ()","Ctrl+Alt+2","HBuilder Outline"
"编辑","Find Next or Previous (depends on search backward configuration)","F3","搜索条"
"导航","上一个编辑位置","Ctrl+Q","在窗口中"
"运行／调试","检查","Ctrl+Shift+I","HBuilder Editor"
"视图","显示视图 (备忘录)","Alt+Shift+Q, H","在窗口中"
"Task","Mark Task Unread","Alt+Shift+U","In Tasks Editor"
"编辑","Find Next","Ctrl+K","搜索条"
"编辑","上下文信息","Alt+Shift+?","在窗口中"
"HBuilder Publish","发行流应用(&S)...","Ctrl+Alt+R","在窗口中"
"运行／调试","调试上次启动","F11","在窗口中"
"项目","全部构建","Ctrl+B","在窗口中"
"Task","Mark Task Incomplete","Alt+Shift+I","In Tasks Editor"
"视图","显示视图 (变量)","Alt+Shift+Q, V","在窗口中"
"导航","转至行","Ctrl+L","编辑文本"
"视图","显示视图 (大纲)","Alt+Shift+Q, O","在窗口中"
"HBuilder","重复插入当前行或选中区域(&R)","Ctrl+Shift+R","编辑文本"
